_id,aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
225,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,PM Peak Period (16:00-19:00),1748
226,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,14 Hour,6289
227,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Afternoon (12:00-17:00),2557
228,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,AM Peak Period (07:00-10:00),1257
229,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Evening (17:00-22:00),2159
230,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Midday (10:00-16:00),2560
231,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Morning (08:00-12:00),1690
232,Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,PM Peak Period (16:00-19:00),2094
233,Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,14 Hour,15650
234,Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Afternoon (12:00-17:00),5983
235,Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,AM Peak Period (07:00-10:00),3437
236,Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Evening (17:00-22:00),5565
237,Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Midday (10:00-16:00),6825
238,Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Morning (08:00-12:00),4558
239,Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,PM Peak Period (16:00-19:00),3672
240,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,14 Hour,108
241,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Afternoon (12:00-17:00),38
242,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,AM Peak Period (07:00-10:00),13
243,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Evening (17:00-22:00),55
244,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Midday (10:00-16:00),41
245,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Morning (08:00-12:00),23
246,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,PM Peak Period (16:00-19:00),42
247,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,14 Hour,97
248,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Afternoon (12:00-17:00),36
249,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,AM Peak Period (07:00-10:00),27
250,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Evening (17:00-22:00),31
251,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Midday (10:00-16:00),41
252,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,Morning (08:00-12:00),30
253,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,WB,PM Peak Period (16:00-19:00),19
254,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,14 Hour,5098
255,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,Afternoon (12:00-17:00),2067
256,Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Pedestrians,EB,AM Peak Period (07:00-10:00),860
